No	Time	T1/T2	Value	Unit	Judge
424	2018/03/22_15:28:59	T1	296.0	K-T	Fail
425	2018/03/22_15:29:00	T1	296.0	K-T	Fail
426	2018/03/22_15:29:01	T1	296.0	K-T	Fail
427	2018/03/22_15:29:02	T1	296.0	K-T	Fail
428	2018/03/22_15:29:03	T1	296.0	K-T	Fail
429	2018/03/22_15:29:04	T1	296.0	K-T	Fail
430	2018/03/22_15:29:05	T1	296.0	K-T	Fail
431	2018/03/22_15:29:06	T1	296.0	K-T	Fail
432	2018/03/22_15:29:07	T1	296.0	K-T	Fail
433	2018/03/22_15:29:08	T1	296.0	K-T	Fail
434	2018/03/22_15:29:09	T1	296.0	K-T	Fail
435	2018/03/22_15:29:10	T1	296.0	K-T	Fail
436	2018/03/22_15:29:11	T1	296.0	K-T	Fail
437	2018/03/22_15:29:12	T1	296.0	K-T	Fail
438	2018/03/22_15:29:13	T1	296.0	K-T	Fail
439	2018/03/22_15:29:14	T1	296.0	K-T	Fail
440	2018/03/22_15:29:15	T1	296.0	K-T	Fail
441	2018/03/22_15:29:16	T1	296.0	K-T	Fail
442	2018/03/22_15:29:17	T1	296.0	K-T	Fail
443	2018/03/22_15:29:18	T1	296.0	K-T	Fail
444	2018/03/22_15:29:19	T1	296.0	K-T	Fail
445	2018/03/22_15:29:20	T1	296.0	K-T	Fail
446	2018/03/22_15:29:21	T1	296.0	K-T	Fail
447	2018/03/22_15:29:22	T1	296.0	K-T	Fail
448	2018/03/22_15:29:23	T1	296.0	K-T	Fail
449	2018/03/22_15:29:24	T1	296.0	K-T	Fail
450	2018/03/22_15:29:25	T1	296.0	K-T	Fail
451	2018/03/22_15:29:26	T1	296.0	K-T	Fail
452	2018/03/22_15:29:27	T1	296.1	K-T	Fail
453	2018/03/22_15:29:28	T1	296.0	K-T	Fail
454	2018/03/22_15:29:29	T1	296.0	K-T	Fail
455	2018/03/22_15:29:30	T1	296.0	K-T	Fail
456	2018/03/22_15:29:31	T1	296.0	K-T	Fail
457	2018/03/22_15:29:32	T1	296.1	K-T	Fail
458	2018/03/22_15:29:33	T1	296.0	K-T	Fail
459	2018/03/22_15:29:34	T1	296.0	K-T	Fail
460	2018/03/22_15:29:35	T1	296.0	K-T	Fail
461	2018/03/22_15:29:36	T1	296.0	K-T	Fail
462	2018/03/22_15:29:37	T1	296.0	K-T	Fail
